Scientific name,Latitude,Longitude
Thrinax radiata,20.96751,-89.6236
Roystonea regia,20.96667,-89.62384
Ficus,20.9675,-89.6236
Ficus,20.96749,-89.62354
Thrinax radiata,20.96749,-89.62354
Thrinax radiata,20.96749,-89.62351
Sabal mexicana,20.96749,-89.62352
Thrinax radiata,20.96748,-89.63349
Sabal mexicana,20.96749,-89.62349
Adonidia merrilli,20.96748,-89.62348
Sabal mexicana,20.96749,-89.62348
Sabal mexicana,20.96746,-89.62338
Sabal mexicana,20.96749,-89.62348
Washingtonia robusta,20.96746,-89.62344
Ficus macrocarpa,20.96746,-89.62344
Thrinax radiata,20.96746,-89.62342
Sabal mexicana,20.96747,-89.62342
Thrinax radiata,20.96748,-89.62341
Brosimum alicastrum,20.96747,-89.62338
Brosimum alicastrum,20.96745,-89.62334
Sabal mexicana,20.96745,-89.6233
Sabal mexicana,20.96742,-89.62334
Ficus macrophylla,20.96743,-89.62332
Washingtonia robusta,20.96745,-89.62332
Sabal mexicana,20.96739,-89.6232
Thrinax radiata,20.96738,-89.62318
Ficus macrophylla,20.96737,-89.62324
Washingtonia robusta,20.96732,-89.62732
Ficus variegata,20.96726,-89.62323
Ficus variegata,20.96722,-89.62326
Sabal mexicana,20.96721,-89.62323
Washingtonia robusta,20.96716,-89.62325
Thrinax radiata,20.96713,-89.62326
Sabal mexicana,20.96713,-89.62326
Sabal mexicana,20.96664,-89.62383
Sabal mexicana,20.96664,-89.62381
Sabal mexicana,20.96664,-89.62384
Yucca,20.96668,-89.62387
Sabal mexicana,20.96669,-89.62388
Sabal mexicana,20.96666,-89.6239
Sabal mexicana,20.96668,-89.6239
Ficus,20.96667,-89.62392
Sabal mexicana,20.96667,-89.62395
Sabal mexicana,20.96667,-89.62392
Sabal mexicana,20.96665,-89.62394
Sabal mexicana,20.96666,-89.62394
Sabal mexicana,20.96665,-89.62395
Citrus aurantium,20.96666,-89.62398
Sabal mexicana,20.96666,-89.62397
Sabal mexicana,20.96667,-89.624
Sabal mexicana,20.96667,-89.62398
Sabal mexicana,20.96667,-89.62402
Sabal mexicana,20.96668,-89.62401
Sabal mexicana,20.96669,-89.62402
Sabal mexicana,20.96669,-89.62401
Ficus,20.96668,-89.62405
Washingtonia robusta,20.96669,-89.62406
Sabal mexicana,20.96669,-89.62407
