ID,VALOR,DESCRIPCION
1,ENERO,MES EN QUE LA ESPECIE ESTA EN FLOR
2,FEBRERO,MES EN QUE LA ESPECIE ESTA EN FLOR
3,MARZO,MES EN QUE LA ESPECIE ESTA EN FLOR
4,ABRIL,MES EN QUE LA ESPECIE ESTA EN FLOR
5,MAYO,MES EN QUE LA ESPECIE ESTA EN FLOR
6,JUNIO,MES EN QUE LA ESPECIE ESTA EN FLOR
7,JULIO,MES EN QUE LA ESPECIE ESTA EN FLOR
8,AGOSTO,MES EN QUE LA ESPECIE ESTA EN FLOR
9,SEPTIEMBRE,MES EN QUE LA ESPECIE ESTA EN FLOR
10,OCTUBRE,MES EN QUE LA ESPECIE ESTA EN FLOR
11,NOVIEMBRE,MES EN QUE LA ESPECIE ESTA EN FLOR
12,DICIEMBRE,MES EN QUE LA ESPECIE ESTA EN FLOR
